test_id,test_category,test_type,temperature,humidity,vibration,pressure,risk_score,pass_fail,test_duration,test_date,standard
TEST_000001,vibration,mechanical_vibration,8.38,48.67,44.42,1049.64,0.451,PASS,197,2024-11-28 18:31:19.461892,MIL-STD-810 Method 514.8
TEST_000002,temperature,high_temp,-33.08,20.45,38.24,957.14,0.976,FAIL,304,2025-06-06 18:31:19.462056,MIL-STD-810 Method 501.7
TEST_000003,humidity,humidity_resistance,7.32,45.46,36.55,985.51,0.431,PASS,432,2024-08-16 18:31:19.462099,MIL-STD-810 Method 507.7
TEST_000004,humidity,humidity_resistance,-18.0,58.94,30.31,1152.58,1.0,FAIL,174,2025-04-12 18:31:19.462151,MIL-STD-810 Method 507.7
TEST_000005,vibration,shock,67.31,28.05,36.12,956.77,1.0,FAIL,301,2024-09-05 18:31:19.462188,IEC 60068-2-27
TEST_000006,humidity,humidity_resistance,32.02,88.15,39.5,1148.99,1.0,FAIL,456,2024-09-29 18:31:19.462234,MIL-STD-810 Method 507.7
TEST_000007,vibration,acoustic_vibration,-33.29,80.08,13.43,915.35,0.946,FAIL,75,2025-04-28 18:31:19.462271,MIL-STD-810 Method 515.8
TEST_000008,humidity,water_splash,26.98,10.88,30.6,1131.83,0.946,FAIL,473,2025-02-06 18:31:19.462303,IEC 60529
TEST_000009,vibration,mechanical_vibration,43.53,75.93,18.98,823.15,0.707,FAIL,193,2024-10-11 18:31:19.462336,MIL-STD-810 Method 514.8
TEST_000010,temperature,low_temp,-12.51,84.14,9.64,857.46,0.613,PASS,377,2024-10-23 18:31:19.462368,MIL-STD-810 Method 502.7
TEST_000011,temperature,thermal_shock,11.08,90.76,10.37,826.64,0.966,FAIL,68,2025-01-24 18:31:19.462399,IEC 60068-2-14
TEST_000012,humidity,water_splash,22.73,54.58,38.08,988.16,0.363,PASS,153,2024-08-13 18:31:19.462437,IEC 60529
TEST_000013,humidity,condensation,10.95,27.28,4.59,1130.91,0.184,PASS,345,2025-04-26 18:31:19.462470,ISO 16750-4
TEST_000014,humidity,condensation,53.73,20.95,42.64,800.64,1.0,FAIL,388,2024-11-21 18:31:19.462501,ISO 16750-4
TEST_000015,humidity,water_splash,-13.42,61.66,31.47,1104.78,0.967,FAIL,195,2024-12-01 18:31:19.462533,IEC 60529
TEST_000016,humidity,humidity_resistance,-6.25,21.82,7.9,1071.77,0.189,PASS,140,2024-11-19 18:31:19.462563,MIL-STD-810 Method 507.7
TEST_000017,vibration,shock,17.16,36.0,1.62,1015.63,0.0,PASS,90,2025-06-09 18:31:19.462594,IEC 60068-2-27
TEST_000018,humidity,condensation,64.56,66.17,7.66,998.68,0.407,PASS,465,2025-08-02 18:31:19.462625,ISO 16750-4
TEST_000019,humidity,water_splash,-31.15,80.2,39.05,1128.55,1.0,FAIL,44,2025-06-14 18:31:19.462657,IEC 60529
TEST_000020,temperature,thermal_shock,36.5,77.5,11.57,1150.13,0.591,PASS,360,2024-12-08 18:31:19.462687,IEC 60068-2-14
TEST_000021,vibration,shock,14.86,21.6,5.45,856.95,0.234,PASS,464,2025-02-18 18:31:19.462719,IEC 60068-2-27
TEST_000022,temperature,thermal_shock,0.79,26.29,45.12,1070.93,0.578,PASS,52,2025-06-12 18:31:19.462756,IEC 60068-2-14
TEST_000023,temperature,low_temp,69.72,35.61,37.73,898.42,1.0,FAIL,222,2024-08-27 18:31:19.462788,MIL-STD-810 Method 502.7
TEST_000024,vibration,mechanical_vibration,-15.76,85.87,32.9,867.43,1.0,FAIL,277,2025-01-01 18:31:19.462819,MIL-STD-810 Method 514.8
TEST_000025,temperature,thermal_shock,-20.94,18.3,38.96,980.85,0.631,PASS,215,2024-09-16 18:31:19.462851,IEC 60068-2-14
TEST_000026,vibration,shock,-10.29,67.79,41.92,1167.99,1.0,FAIL,470,2024-09-16 18:31:19.462883,IEC 60068-2-27
TEST_000027,humidity,condensation,21.92,32.63,7.7,1059.5,0.144,PASS,478,2024-12-03 18:31:19.462923,ISO 16750-4
TEST_000028,vibration,acoustic_vibration,-14.43,66.13,20.04,1106.3,0.724,FAIL,143,2024-09-28 18:31:19.462955,MIL-STD-810 Method 515.8
